"Hist. Time Series - POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA EMTN,REGS, FXD- NT DUE 2027",,,,,,,,,
,,,,,,,,,
Date,Open,High,Low,Close,Yield,Bid,Ask,Currency,Volume
02/12/2024,,,,100.41,3.62,100.41,100.61,Euro,
29/11/2024,,,,100.35,3.66,100.35,100.55,Euro,
28/11/2024,,,,100.31,3.68,100.31,100.51,Euro,
27/11/2024,,,,100.23,3.73,100.23,100.43,Euro,
26/11/2024,,,,100.26,3.71,100.26,100.46,Euro,
25/11/2024,,,,100.27,3.71,100.27,100.47,Euro,
22/11/2024,,,,100.30,3.70,100.30,100.50,Euro,
21/11/2024,,,,100.20,3.75,100.20,100.40,Euro,
20/11/2024,,,,100.19,3.76,100.19,100.39,Euro,
19/11/2024,,,,100.18,3.76,100.18,100.38,Euro,
18/11/2024,,,,100.15,3.78,100.15,100.35,Euro,
15/11/2024,,,,100.19,3.76,100.19,100.39,Euro,
14/11/2024,,,,100.23,3.74,100.23,100.43,Euro,
13/11/2024,,,,100.17,3.77,100.17,100.37,Euro,
12/11/2024,,,,100.18,3.77,100.18,100.38,Euro,
11/11/2024,,,,100.19,3.76,100.19,100.39,Euro,
08/11/2024,,,,100.13,3.80,100.13,100.33,Euro,
07/11/2024,,,,100.08,3.82,100.08,100.28,Euro,
06/11/2024,,,,100.10,3.81,100.10,100.30,Euro,
05/11/2024,,,,99.90,3.93,99.90,100.10,Euro,
04/11/2024,,,,99.95,3.90,99.95,100.15,Euro,
01/11/2024,,,,99.92,3.92,99.92,100.12,Euro,
31/10/2024,,,,99.91,3.92,99.91,100.11,Euro,
30/10/2024,,,,100.00,3.87,100.00,100.20,Euro,
29/10/2024,,,,100.19,3.77,100.19,100.39,Euro,
28/10/2024,,,,100.25,3.73,100.25,100.45,Euro,
25/10/2024,,,,100.20,3.76,100.20,100.40,Euro,
24/10/2024,,,,100.26,3.73,100.26,100.46,Euro,
23/10/2024,,,,100.18,3.77,100.18,100.38,Euro,
22/10/2024,,,,100.10,3.81,100.10,100.30,Euro,
21/10/2024,,,,100.18,3.77,100.18,100.38,Euro,
18/10/2024,,,,100.29,3.71,100.29,100.49,Euro,
17/10/2024,,,,100.21,3.75,100.21,100.41,Euro,
16/10/2024,,,,100.18,3.77,100.18,100.38,Euro,
15/10/2024,,,,100.13,3.80,100.13,100.33,Euro,
14/10/2024,,,,100.09,3.82,100.09,100.29,Euro,
11/10/2024,,,,100.11,3.81,100.11,100.26,Euro,
10/10/2024,,,,100.09,3.82,100.09,100.29,Euro,
09/10/2024,,,,100.08,3.83,100.08,100.28,Euro,
08/10/2024,,,,100.09,3.82,100.09,100.29,Euro,
07/10/2024,,,,100.09,3.82,100.09,100.29,Euro,
04/10/2024,,,,100.13,3.80,100.13,100.33,Euro,
03/10/2024,,,,100.29,3.71,100.29,100.49,Euro,
02/10/2024,,,,100.35,3.68,100.35,100.55,Euro,
01/10/2024,,,,100.38,3.67,100.38,100.58,Euro,
30/09/2024,,,,100.32,3.70,100.32,100.52,Euro,
27/09/2024,,,,100.31,3.71,100.31,100.51,Euro,
26/09/2024,,,,100.16,3.79,100.16,100.36,Euro,
25/09/2024,,,,100.16,3.79,100.16,100.36,Euro,
24/09/2024,,,,100.20,3.77,100.20,100.40,Euro,
23/09/2024,,,,100.14,3.80,100.14,100.34,Euro,
20/09/2024,,,,100.05,3.85,100.05,100.25,Euro,
19/09/2024,,,,100.08,3.83,100.08,100.28,Euro,
18/09/2024,,,,100.00,3.87,100.00,100.20,Euro,
17/09/2024,,,,100.05,3.85,100.05,100.25,Euro,
16/09/2024,,,,100.11,3.82,100.11,100.31,Euro,
13/09/2024,,,,100.02,3.87,100.02,100.22,Euro,
12/09/2024,,,,100.00,3.88,100.00,100.20,Euro,
11/09/2024,,,,100.07,3.84,100.07,100.27,Euro,
